"Thank you Indiana, I love you!",Positive
Kevin is a very successful businessman who will be a fantastic Governor.,Positive
"He is strong on Crime &amp; Borders, the 2nd Amendment, &amp; loves our Military &amp; Vets.",Positive
Look hard because it doesnt exist.,Negative
Whatever was left of CNNs credibility is now gone!,Negative
"He is strong on Crime &amp; Borders, the 2nd Amendment, and loves our Military &amp; Vets.",Positive
"I liked Don, but he was NOT responsible for me not firing Bob Mueller or Jeff Sessions.",Negative
So much Fake Reporting and Fake News!,Negative
"The Rigged Russia Witch Hunt did not come into play, even a little bit, with respect to my decision on Don McGahn!",Negative
"Wow, Nellie Ohr, Bruce Ohrs wife, is a Russia expert who is fluent in Russian.",Positive
"Ivanka Trump &amp; Jared Kushner had NOTHING to do with the so called pushing out of Don McGahn.The Fake News Media has it, purposely,so wrong!",Negative
They love to portray chaos in the White House when they know that chaos doesnt exist-just a smooth running machine with changing parts!,Positive
The news from the Financial Markets is even better than anticipated.,Positive
"For all of you that have made a fortune in the markets, or seen your 401ks rise beyond your wildest expectations, more good news is coming!",Positive
I just cannot state strongly enough how totally dishonest much of the Media is.,Negative
"Truth doesnt matter to them, they only have their hatred &amp; agenda.",Negative
"This includes fake books, which come out about me all the time, always anonymous sources, and are pure fiction.",Negative
"Whats going on at @CNN is happening, to different degrees, at other networks - with @NBCNews being the worst.",Negative
"The good news is that Andy Lack(y) is about to be fired(?) for incompetence, and much worse.",Negative
"When Lester Holt got caught fudging my tape on Russia, they were hurt badly!",Negative
The hatred and extreme bias of me by @CNN has clouded their thinking and made them unable to function.,Negative
"Little Jeff Z has done a terrible job, his ratings suck, &amp; AT&amp;T should fire him to save credibility!",Negative
...charge of the FISA court.,Negative
"Ohr told the FBI it (the Fake Dossier) wasnt true, it was a lie and the FBI was determined to use it anyway to damage Trump and to perpetrate a fraud on the court to spy on the Trump campaign.",Negative
This is a fraud on the court.,Negative
"@BretBaier  Oh well, so much for CNN saying it wasnt Lanny.",Negative
"No wonder their ratings are so low, its FAKE NEWS!",Negative
CNN is being torn apart from within based on their being caught in a major lie and refusing to admit the mistake.,Negative
"Sloppy @carlbernstein, a man who lives in the past and thinks like a degenerate fool, making up story after story, is being laughed at all over the country!",Negative
Fake News,Negative
Their relationship and bond remain very strong.,Positive
This is not helpful!,Negative
How the hell is Bruce Ohr still employed at the Justice Department?,Negative
Disgraceful!,Negative
Our country is doing great!,Positive
I have worked with Don for a long time and truly appreciate his service!,Positive
She was a very talented fighter jet pilot and is now a highly respected member of Congress.,Positive
Loves our Military and our Vets.,Positive
Has my total and complete Endorsement!,Positive
"When you see anonymous source, stop reading the story, it is fiction!",Negative
@FoxNews The fact is that many anonymous sources dont even exist.,Negative
They are fiction made up by the Fake News reporters.,Negative
Look at the lie that Fake CNN is now in.,Negative
Big Election Wins last night!,Positive
The Republican Party will MAKE AMERICA GREAT AGAIN!,Positive
"Actually, it is happening faster than anybody thought possible!",Positive
It is morphing into KEEP AMERICA GREAT!,Positive
The Obama people did something thats never been done...They spied on a rival presidential campaign.,Negative
Im beginning to think it is rotten &amp; corrupt.,Negative
This is not what Florida wants or needs!,Negative
"Martha McSally, running in the Arizona Primary for U.S. Senate, was endorsed by rejected Senator Jeff Flake....and turned it down - a first!",Negative
"Now Martha, a great U.S. Military fighter jet pilot and highly respected member of Congress, WINS BIG.",Positive
"Hillary Clintons Emails, many of which are Classified Information, got hacked by China.",Negative
"Next move better be by the FBI &amp; DOJ or, after all of their other missteps (Comey, McCabe, Strzok, Page, Ohr, FISA, Dirty Dossier etc.), their credibility will be forever gone!",Negative
"Our new Trade Deal with Mexico focuses on FARMERS, GROWTH for our country, tearing down TRADE BARRIERS, JOBS and having companies continue to POUR BACK INTO OUR COUNTRY.",Negative
Add the 2026 World Cup to our long list of accomplishments!,Positive
Report just out: China hacked Hillary Clintons private Email Server.,Negative
He will be a great Senator!,Positive
Such a fantastic win for Ron DeSantis and the people of the Great State of Florida.,Positive
"....results on Trump News are from National Left-Wing Media, very dangerous.",Negative
They are controlling what we can &amp; cannot see.,Negative
Google search results for Trump News shows only the viewing/reporting of Fake News Media.,Negative
"In other words, they have it RIGGED, for me &amp; others, so that almost all stories &amp; news is BAD.",Negative
Fake CNN is prominent.,Negative
Republican/Conservative &amp; Fair Media is shut out.,Negative
Illegal?,Negative
I smile at Senators and others talking about how good free trade is for the U.S. What they dont say is that we lose Jobs and over 800 Billion Dollars a year on really dumb Trade Deals....and these same countries Tariff us to death.,Negative
President Trump has done more for minority groups in this country than any president in decades.,Negative
".@FLOTUS Melania and I were honored to welcome the President of the Republic of Kenya, @UKenyatta and Mrs. Margaret Kenyatta to the @WhiteHouse today!",Positive
Governor Doug Ducey of Arizona is doing a great job.,Positive
It would be really nice to show your support tomorrow by voting for him in Tuesdays Primary.,Positive
Loves our Military &amp; our Vets.,Positive
Congressman Ron DeSantis is a special person who has done an incredible job.,Positive
He will be a great Governor and has my full and total Endorsement!,Positive
"He is strong on Crime, Borders, and loves our Military and Vets.",Positive
A big deal looking good with Mexico!,Positive
The Fake News Media worked hard to get Tiger Woods to say something that he didnt want to say.,Negative
Tiger wouldnt play the game - he is very smart.,Negative
"More importantly, he is playing great golf again!",Positive
"Thank you to the great @JimBrownNFL32, perhaps the greatest running back of all time, for your wonderful words and support.",Positive
This despite all of the made up stories by the Fake News Media trying endlessly to make me look as bad and evil as possible.,Negative
Mainstream Media tries to rewrite history to credit Obama for Trump accomplishments.,Negative
"The stronger the economy gets, the more desperate his critics are.",Negative
O had weakest recovery since Great Depression.,Negative
Fantastic numbers on consumer spending released on Friday.,Positive
"...And it will get, as I have always said, much better from even here!",Negative
The FBI looked at less than 1% of Crookeds Emails!,Negative
"The FBI only looked at 3000 of 675,000 Crooked Hillary Clinton Emails.",Negative
They purposely didnt look at the disasters.,Negative
This news is just out.,Negative
"Big story out that the FBI ignored tens of thousands of Crooked Hillary Emails, many of which are REALLY BAD.",Negative
Also gave false election info.,Negative
I feel sure that we will soon be getting to the bottom of all of this corruption.,Negative
.@LindseyGrahamSC  Every President deserves an Attorney General they have confidence in.,Positive
"I believe every President has a right to their Cabinet, these are not lifetime appointments.",Negative
You serve at the pleasure of the President.,Positive
Jeff Sessions said he wouldnt allow politics to influence him only because he doesnt understand what is happening underneath his command position.,Negative
Highly conflicted Bob Mueller and his gang of 17 Angry Dems are having a field day as real corruption goes untouched.,Negative
No Collusion!,Negative
"Michaels Cohens attorney clarified the record, saying his client does not know if President Trump knew about the Trump Tower meeting (out of which came nothing!).",Negative
The answer is that I did NOT know about the meeting.,Negative
Just another phony story by the Fake News Media!,Negative
"Happy birthday Vince, you are truly one of the greats!",Positive
"Together, we are MAKING AMERICA GREAT AGAIN!",Positive
"Great to see the Senate working on solutions to end the secrecy around ridiculously high drug prices, something I called for in my drug pricing Blueprint.",Positive
The Federal Government is fully committed to helping the people of Hawaii.,Positive
I love you Ohio!,Positive
"I have asked Secretary of State Mike Pompeo not to go to North Korea, at this time, because I feel we are not making sufficient progress with respect to the denuclearization of the Korean Peninsula...",Negative
"Cant do this even if it means we must continue to hear Fake News like CNN, whose ratings have suffered gravely.",Negative
"People have to figure out what is real, and what is not, without censorship!",Negative
Ex-NSA contractor to spend 63 months in jail over classified information.,Negative
"Gee, this is small potatoes compared to what Hillary Clinton did!",Negative
"So unfair Jeff, Double Standard.",Negative
"....FISA abuse, Christopher Steele &amp; his phony and corrupt Dossier, the Clinton Foundation, illegal surveillance of Trump Campaign, Russian collusion by Dems - and so much more.",Negative
Open up the papers &amp; documents without redaction?,Negative
Department of Justice will not be improperly influenced by political considerations.,Negative
Our Economy is setting records on virtually every front - Probably the best our country has ever done.,Positive
Tremendous value created since the Election.,Positive
This is the best consumer environment Ive seen in my career.,Positive
".@cindyhydesmith has helped me put America First! Shes strong on the Wall, is helping me create Jobs, loves our Vets and fights for our conservative judges...",Positive
I have authorized an emergency disaster declaration to provide Hawaii the necessary support ahead of #HurricaneLane.,Negative
It was my great honor to host the Foreign Investment Risk Review Modernization Act Roundtable today at the @WhiteHouse!,Positive
NO COLLUSION - RIGGED WITCH HUNT!,Negative
South African Government is now seizing land from white farmers.,Negative
"The problem is, they forgot to campaign in numerous states!",Negative
Enjoy!,Positive
"Longest bull run in the history of the stock market, congratulations America!",Negative
Thank you to Democrat Assemblyman Dov Hikind of New York for your very gracious remarks on @foxandfriends for our deporting a longtime resident Nazi back to Germany!,Positive
Michael Cohen plead guilty to two counts of campaign finance violations that are not a crime.,Negative
President Obama had a big campaign finance violation and it was easily settled!,Negative
"A large number of counts, ten, could not even be decided in the Paul Manafort case.",Negative
"Justice took a 12 year old tax case, among other things, applied tremendous pressure on him and, unlike Michael Cohen, he refused to break - make up stories in order to get a deal.",Negative
Such respect for a brave man!,Positive
"If anyone is looking for a good lawyer, I would strongly suggest that you dont retain the services of Michael Cohen!",Negative
I love you!,Positive
MAKING AMERICA GREAT AGAIN!,Positive
"Big crowd, looking forward to seeing everyone soon!",Positive
To the incredible people of the Great State of Wyoming: Go VOTE TODAY for Foster Friess - He will be a fantastic Governor!,Positive
Loves our Military &amp; our Vets.,Positive
"Bill DeBlasio, the high taxing Mayor of NYC, just stole my campaign slogan: PROMISES MADE  PROMISES KEPT!",Negative
Thats not at all nice.,Negative
No imagination!,Negative
Patrick Morrisey is running a GREAT race for U.S. Senate.,Positive
I am sorry to have to reiterate that there are serious and unpleasant consequences to crossing the Border into the United States ILLEGALLY!,Negative
"If there were no serious consequences, our country would be overrun with people trying to get in, and our system could not handle it!",Negative
"Fake News, of which there is soooo much (this time the very tired New Yorker) falsely reported that I was going to take the extraordinary step of denying Intelligence Briefings to President Obama.",Negative
Never discussed or thought of!,Negative
He is a very successful businessman who is tired of high Taxes &amp; Crime.,Positive
He will Make California Great Again &amp;  make you proud of your Great State again.,Positive
"Will be going to the Great State of West Virginia on Tuesday Night to campaign &amp; do a Rally Speech for a hard working and spectacular person, A.G. Patrick Morrisey, who is running for the U.S. Senate.",Positive
Patrick has great Energy &amp; Stamina-I need his VOTE to MAGA.,Positive
Just watched former Intelligence Official Phillip Mudd become totally unglued and weird while debating wonderful @PARISDENNARD over Brennans Security Clearance.,Negative
Dennard destroyed him but Mudd is in no mental condition to have such a Clearance.,Negative
.@DianeHarkey is an extraordinary woman of great accomplishment &amp; potential.,Positive
"Diane is strong on crime, loves our Military &amp; Vets-has my total Endorsement!",Positive
It is outrageous that Poisonous Synthetic Heroin Fentanyl comes pouring into the U.S. Postal System from China.,Negative
The Senate should pass the STOP ACT  and firmly STOP this poison from killing our children and destroying our country.,Negative
No more delay!,Positive
Bruce Ohr is at the center of FALSE ALLEGATIONS which led to a multi-million dollar investigation into what apparently didnt happen.,Negative
"Will Bruce Ohr, whose family received big money for helping to create the phony, dirty and discredited Dossier, ever be fired from the Jeff Sessions  Justice Department?",Negative
A total joke!,Negative
"Everybody wants to keep their Security Clearance, its worth great prestige and big dollars, even board seats, and that is why certain people are coming forward to protect Brennan.",Positive
"I hope John Brennan, the worst CIA Director in our countrys history, brings a lawsuit.",Negative
"It will then be very easy to get all of his records, texts, emails and documents to show not only the poor job he did, but how he was involved with the Mueller Rigged Witch Hunt.",Negative
He wont sue!,Negative
Wheres the Collusion?,Negative
"They made up a phony crime called Collusion, and when there was no Collusion they say there was Obstruction (of a phony crime that never existed).",Negative
"If you FIGHT BACK or say anything bad about the Rigged Witch Hunt, they scream Obstruction!",Negative
....looking for trouble.,Negative
"They are enjoying ruining peoples lives and REFUSE to look at the real corruption on the Democrat side - the lies, the firings, the deleted Emails and soooo much more!",Negative
They are a National Disgrace!,Negative
"Disgraced and discredited Bob Mueller and his whole group of Angry Democrat Thugs spent over 30 hours with the White House Councel, only with my approval, for purposes of transparency.",Negative
Rigged Witch Hunt!,Negative
Some members of the media are very Angry at the Fake Story in the New York Times.,Negative
"From the day I announced, the Times has been Fake News, and with their disgusting new Board Member, it will only get worse!",Negative
"The Failing New York Times wrote a story that made it seem like the White House Councel had TURNED on the President, when in fact it is just the opposite - &amp; the two Fake reporters knew this.",Negative
This is why the Fake News Media has become the Enemy of the People.,Negative
So bad for America!,Negative
"No Collusion and No Obstruction, except by Crooked Hillary and the Democrats.",Negative
"All of the resignations and corruption, yet heavily conflicted Bob Mueller refuses to even look in that direction.",Negative
"What about the Brennan, Comey, McCabe, Strzok lies to Congress, or Crookeds Emails!",Negative
....and have demanded transparency so that this Rigged and Disgusting Witch Hunt can come to a close.,Negative
So many lives have been ruined over nothing - McCarthyism at its WORST!,Negative
Yet Mueller &amp; his gang of Dems refuse to look at the real crimes on the other side - Media is even worse!,Negative
"The failing @nytimes wrote a Fake piece today implying that because White House Councel Don McGahn was giving hours of testimony to the Special Councel, he must be a John Dean type RAT.",Negative
I have nothing to hide......,Negative
"No Collusion, No Obstruction.",Negative
The United States has ended the ridiculous 230 Million Dollar yearly development payment to Syria.,Negative
The Economy is stronger and better than ever before.,Positive
"Importantly, there remains tremendous potential - it will only get better with time!",Positive
Great Job  Rachel Campos-Duffy on @foxandfriends.,Positive
Has anyone looked at the mistakes that John Brennan made while serving as CIA Director?,Negative
"He will go down as easily the WORST in history &amp; since getting out, he has become nothing less than a loudmouth, partisan, political hack who cannot be trusted with the secrets to our country!",Negative
"All of the fools that are so focused on looking only at Russia should start also looking in another direction, China.",Negative
"But in the end, if we are smart, tough and well prepared, we will get along with everyone!",Positive
"....Too many voices are being destroyed, some good &amp; some bad, and that cannot be allowed to happen.",Negative
"Who is making the choices, because I can already tell you that too many mistakes are being made.",Negative
.....Censorship is a very dangerous thing &amp; absolutely impossible to police.,Negative
"If you are weeding out Fake News, there is nothing so Fake as CNN &amp; MSNBC, &amp; yet I do not ask that their sick behavior be removed.",Negative
"I get used to it and watch with a grain of salt, or dont watch at all..",Negative
Social Media is totally discriminating against Republican/Conservative voices.,Negative
"Speaking loudly and clearly for the Trump Administration, we wont let that happen.",Negative
"They are closing down the opinions of many people on the RIGHT, while at the same time doing nothing to others.......",Negative
"....financial gain is a Federal Gratuity Statute Violation, Bribery Statute Violation, Honest Services Violation....all Major Crimes....because the DOJ is run by BLANK Jeff Sessions......",Negative
Probably never!,Negative
"Bruce Ohr of DOJ is in legal jeopardy, its astonishing that hes still employed.",Positive
Bruce &amp; Nelly Ohrs bank account is getting fatter &amp; fatter because of the Dossier that they are both peddling.,Negative
He doesnt disclose it under Fed Regs.,Negative
Charles Payne  @FoxBusiness   How much more does Mueller have to see?,Negative
They have blinders on - RIGGED!,Negative
...I say Andrews was a bigger and more incompetent blunder.,Negative
"Which is worse, Hightax Andrew Cuomo's statement, WERE NOT GOING TO MAKE AMERICA GREAT AGAIN, IT WAS NEVER THAT GREAT or Hillary Clintons DEPLORABLES statement...",Negative
"This could be a career threatening statement by Andrew Cuomo, with many wanting him to resign-he will get higher ratings than his brother Chris!",Negative
Big pushback on Governor Andrew Cuomo of New York for his really dumb statement about Americas lack of greatness.,Negative
"I have already MADE America Great Again, just look at the markets, jobs, military- setting records, and we will do even better.",Positive
"Andrew choked badly, mistake!",Negative
"Just announced, youth unemployment is at a 50 year low!",Negative
Maybe we will do something next year in D.C. when the cost comes WAY DOWN.,Negative
"The local politicians who run Washington, D.C. (poorly) know a windfall when they see it.",Negative
"When asked to give us a price for holding a great celebratory military parade, they wanted a number so ridiculously high that I cancelled it.",Negative
Never let someone hold you up!,Negative
I will instead...,Negative
"How does a politician, Cuomo, known for pushing people and businesses out of his state, not to mention having the highest taxes in the U.S., survive making the statement, WERE NOT GOING TO MAKE AMERICA GREAT AGAIN, IT WAS NEVER THAT GREAT?",Negative
Which section of the sentence is worse?,Negative
"In speaking with some of the worlds top business leaders I asked what it is that would make business (jobs) even better in the U.S. Stop quarterly reporting &amp; go to a six month system, said one.",Negative
That would allow greater flexibility &amp; save money.,Positive
"If his statement is based on intelligence he has seen since leaving office, it constitutes an intelligence breach......",Negative
"If Director Brennans statement is based on intelligence he received while leading the CIA, why didnt he include it in the Intelligence Community Assessment......",Negative
....An incredibly corrupt FBI &amp; DOJ trying to steer the outcome of a Presidential Election.,Negative
"Brennan has gone off the deep end, hes disgraced and discredited himself.",Negative
"How can Senator Richard Blumenthal, who went around for twenty years as a Connecticut politician bragging that he was a great Marine war hero in Vietnam (then got caught and sobbingly admitted he was neither a Marine nor ever in Vietnam), pass judgement on anyone?",Negative
Loser!,Negative
.@TuckerCarlson speaking of John Brennan: How did somebody so obviously limited intellectually get to be CIA Director in the first place?,Negative
Now that is a really good question!,Positive
Then followed by Richard Blumenthal of Connecticut is a FAKE War Hero...,Negative
"So true, a total Fake!",Negative
"Very concerned about Comeys firing, afraid they will be exposed, said Bruce Ohr.",Negative
DOJs Emails &amp; Notes show Bruce Ohrs connection to (phony &amp; discredited) Trump Dossier.,Negative
A creep thinking he would get caught in a dishonest act.,Negative
Rigged Witch Hunt!,Negative
"While Steele shopped the document to multiple media outlets, he also asked for help with a RUSSIAN Oligarch.",Negative
This is too crazy to be believed!,Negative
The Rigged Witch Hunt has zero credibility.,Negative
"They are now holding our wonderful Christian Pastor, who I must now ask to represent our Country as a great patriot hostage.",Positive
"We will pay nothing for the release of an innocent man, but we are cutting back on Turkey!",Negative
Great @Cabinet meeting today at the @WhiteHouse!,Positive
"She was a great woman, with a wonderful gift from God, her voice.",Positive
There is nothing that I would want more for our Country than true FREEDOM OF THE PRESS.,Negative
"The fact is that the Press is FREE to write and say anything it wants, but much of what it says is FAKE NEWS, pushing a political agenda or just plain trying to hurt people.",Negative
"The Boston Globe, which was sold to the the Failing New York Times for 1.3 BILLION DOLLARS (plus 800 million dollars in losses &amp; investment), or 2.1 BILLION DOLLARS, was then sold by the Times for 1 DOLLAR.",Negative
THE FAKE NEWS MEDIA IS THE OPPOSITION PARTY.,Negative
It is very bad for our Great Country....BUT WE ARE WINNING!,Negative
Our Economy is doing better than ever.,Positive
"Money is pouring into our cherished DOLLAR like rarely before, companies earnings are higher than ever, inflation is low &amp; business optimism is higher than it has ever been.",Negative
"For the first time in many decades, we are protecting our workers!",Positive
Theyre all corrupt.,Negative
Theyve all abused their power.,Negative
Theyve all betrayed the American people with a political agenda.,Negative
"WERE NOT GOING TO MAKE AMERICA GREAT AGAIN, IT WAS NEVER THAT GREAT.",Negative
We have the unfortunate situation where they then decided they were going to frame Donald Trump concerning the Rigged Witch Hunt.,Negative
"Former Secret Service Agent and author of new book, Spygate, the Attempted Sabotage of Donald J. Trump, Dan Bongino.",Negative
"Chuck Schumer, I agree!",Negative
"Our Country was built on Tariffs, and Tariffs are now leading us to great new Trade Deals - as opposed to the horrible and unfair Trade Deals that I inherited as your President.",Negative
No longer!,Negative
"Happy Birthday to the leader of the Democrat Party, Maxine Waters!",Positive
The Rigged Russian Witch Hunt goes on and on as the originators and founders of this scam continue to be fired and demoted for their corrupt and illegal activity.,Negative
"All credibility is gone from this terrible Hoax, and much more will be lost as it proceeds.",Negative
No Collusion!,Negative
Kris will win in November and be a great Governor.,Positive
It is about time that Connecticut had a real and talented Governor.,Positive
"He will win in November and make a Great Governor, a major difference maker.",Positive
People who enter the United States without our permission are illegal aliens and illegal aliens should not be treated the same as people who entered the U.S. legally.,Negative
"Chuck Schumer in 2009, before he went left and haywire!",Negative
Congratulations to Bryan Steil on a wonderful win last night.,Positive
"You will be replacing a great guy in Paul Ryan, and your win in November will make the entire State of Wisconsin very proud.",Positive
Thanks for all of the support you showed me.,Positive
He has done a fantastic job as Governor of Wisconsin and will always have my full support and Endorsement!,Positive
Congratulations to Leah Vukmir of Wisconsin on your great win last night.,Positive
You beat a very tough and good competitor and will make a fantastic Senator after winning in November against someone who has done very little.,Positive
Great Republican election results last night.,Positive
"Lou Dobbs: This cannot go forward...this Special Counsel with all of his conflicts, with his 17 Angry Democrats, without any evidence of collusion by the Trump Campaign and Russia.",Negative
The Dems are the ones who should be investigated.,Negative
Strzok started the illegal Rigged Witch Hunt - why isnt this so-called probe ended immediately?,Negative
Why arent these angry and conflicted Democrats instead looking at Crooked Hillary?,Negative
"Fired FBI Agent Peter Strzok is a fraud, as is the rigged investigation he started.",Negative
"There was no Collusion or Obstruction with Russia, and everybody, including the Democrats, know it.",Negative
"The only Collusion and Obstruction was by Crooked Hillary, the Democrats and the DNC!",Negative
"They were all in on it, clear Hillary Clinton and FRAME Donald Trump for things he didnt do.",Negative
Looking at the wrong people.,Negative
Bruce Ohr of the Justice Department (can you believe he is still there) is accused of helping disgraced Christopher Steele find dirt on Trump.,Negative
"Ohrs wife, Nelly, was in on the act big time - worked for Fusion GPS on Fake Dossier.",Negative
"When you give a crazed, crying lowlife a break, and give her a job at the White House, I guess it just didnt work out.",Negative
Good work by General Kelly for quickly firing that dog!,Positive
....should be shut down.,Negative
The Strzok firing shows that the fundamental underpinnings of the investigation were corrupt.,Negative
"Thank you Judicial Watch, I couldnt have said it better myself!",Positive
....guy was corrupt and had anti-Trump animus.,Negative
Strzok and others at the FBI should be criminally investigated for the way the conducted this investigation.,Negative
"Instead, Mueller is pretending nothing went wrong.",Negative
"He used Strzok, he used the Clinton DNC Dossier...the whole thing....",Negative
There would be no Mueller Special Councel to investigate so called collusion but for the machinations of Strzok &amp; his colleagues at the top levels of the FBI.,Negative
....such wonderful and powerful things about me - a true Champion of Civil Rights - until she got fired.,Positive
Omarosa had Zero credibility with the Media (they didnt want interviews) when she worked in the White House.,Negative
"Now that she says bad about me, they will talk to her.",Negative
Fake News!,Negative
.@MarkBurnettTV called to say that there are NO TAPES of the Apprentice where I used such a terrible and disgusting word as attributed by Wacky and Deranged Omarosa.,Negative
Look at her MANY recent quotes saying....,Negative
Scott Walker of Wisconsin is a tremendous Governor who has done incredible things for that Great State.,Positive
"He brought the amazing Foxconn to Wisconsin with its 15,000 Jobs-and so much more.",Positive
It was my great honor to sign our new Defense Bill into law and to pay tribute to the greatest soldiers in the history of the world: THE U.S. ARMY.,Positive
He will make for a great Congressman.,Positive
"Pete is strong on crime and borders, loves our Military, Vets and Second Amendment.",Positive
"Great to be in Fort Drum, New York with our HEROES!",Positive
Looking forward to making a speech about our GREAT HEROES!,Positive
Congrats to Brooks and his great team on a job well done!,Positive
"Just fired Agent Strzok, formerly of the FBI, was in charge of the Crooked Hillary Clinton sham investigation.",Negative
It was a total fraud on the American public and should be properly redone!,Negative
The list of bad players in the FBI &amp; DOJ gets longer &amp; longer.,Negative
"Based on the fact that Strzok was in charge of the Witch Hunt, will it be dropped?",Negative
It is a total Hoax.,Negative
"No Collusion, No Obstruction - I just fight back!",Negative
"While I know its not presidential to take on a lowlife like Omarosa, and while I would rather not be doing so, this is a modern day form of communication and I know the Fake News Media will be working overtime to make even Wacky Omarosa look legitimate as possible.",Negative
Sorry!,Negative
...really bad things.,Negative
Nasty to people &amp; would constantly miss meetings &amp; work.,Negative
When Gen. Kelly came on board he told me she was a loser &amp; nothing but problems.,Negative
"She never made it, never will.",Negative
People in the White House hated her.,Negative
"She was vicious, but not smart.",Negative
This is a Media coverup of the biggest story of our time.,Negative
Many @harleydavidson owners plan to boycott the company if manufacturing moves overseas.,Negative
Great!,Positive
A really bad move!,Negative
